2024-02-16 21:55:13.120094	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&status=released&perturbed=false&biosample_ontology.classification=cell+line&assay_title=eCLIP&target.investigated_as=RNA+binding+protein&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR202HKN/	ENCSR202HKN	eCLIP	eCLIP	cell line	/targets/WDR3-human/	WDR3	WDR3	Homo sapiens K562	K562	GEO:GSE176608	eCLIP experiment on K562 against WDR3	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF915BUQ/,/files/ENCFF953XOY/,/files/ENCFF270QTE/,/files/ENCFF733LSZ/,/files/ENCFF731PVT/,/files/ENCFF444UFA/,/files/ENCFF053JDY/,/files/ENCFF096AQT/,/files/ENCFF765GUO/,/files/ENCFF593DHS/,/files/ENCFF380SYQ/,/files/ENCFF991NPH/,/files/ENCFF469DUE/,/files/ENCFF308MZK/,/files/ENCFF416OND/,/files/ENCFF372YUO/,/files/ENCFF507SLL/,/files/ENCFF474ULB/,/files/ENCFF636LWR/,/files/ENCFF426QHQ/,/files/ENCFF110QAU/,/files/ENCFF093FTO/,/files/ENCFF824USQ/,/files/ENCFF787GQZ/,/files/ENCFF215XPR/,/files/ENCFF560RWD/		ENCBS505ILK,ENCBS039CVO	1,2	1	ENCAB768ADR	Homo sapiens	adult	53 years												/replicates/d954c3de-fba2-4f46-b1bc-b5ea5fe55ae2/,/replicates/7aaef009-0ba2-4032-8a65-4b9daffb5a53/				
/experiments/ENCSR356MSW/	ENCSR356MSW	eCLIP	eCLIP	cell line	/targets/SSB-human/	SSB	SSB	Homo sapiens K562	K562	GEO:GSE177262	eCLIP experiment on K562 against SSB	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF734LCT/,/files/ENCFF258RPS/,/files/ENCFF677KYJ/,/files/ENCFF676BHH/,/files/ENCFF659FQL/,/files/ENCFF022SQB/,/files/ENCFF468FTA/,/files/ENCFF411IAE/,/files/ENCFF131CHH/,/files/ENCFF805UMW/,/files/ENCFF704NUD/,/files/ENCFF871PJK/,/files/ENCFF516BAM/,/files/ENCFF289TDT/,/files/ENCFF566TDO/,/files/ENCFF205JFL/,/files/ENCFF623ASO/,/files/ENCFF732TUI/,/files/ENCFF464BIY/,/files/ENCFF118XXW/,/files/ENCFF342RHD/,/files/ENCFF203AWR/,/files/ENCFF868DYD/,/files/ENCFF903AED/,/files/ENCFF324PNB/,/files/ENCFF328KJW/		ENCBS039CVO,ENCBS505ILK	2,1	1	ENCAB214FIO	Homo sapiens	adult	53 years												/replicates/1bab8ef6-0d62-4e1b-ba8d-265cc2f9a199/,/replicates/e34c0f54-4f70-4c5b-90a6-f6a34f216873/				
/experiments/ENCSR820UYE/	ENCSR820UYE	eCLIP	eCLIP	cell line	/targets/PABPN1-human/	PABPN1	PABPN1	Homo sapiens HepG2	HepG2	GEO:GSE177843,RBPImage:PABPN1	eCLIP experiment on HepG2 against PABPN1	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF937NJC/,/files/ENCFF009PZB/,/files/ENCFF049DAF/,/files/ENCFF482ULC/,/files/ENCFF441BOM/,/files/ENCFF922VHA/,/files/ENCFF831ZJY/,/files/ENCFF755RZB/,/files/ENCFF878GRC/,/files/ENCFF767IPH/,/files/ENCFF190DLZ/,/files/ENCFF927DMJ/,/files/ENCFF978BHG/,/files/ENCFF107VBS/,/files/ENCFF145LAD/,/files/ENCFF974AOE/,/files/ENCFF805VZB/,/files/ENCFF996QBV/,/files/ENCFF185CCB/,/files/ENCFF615GBE/,/files/ENCFF890DJI/,/files/ENCFF715LJJ/,/files/ENCFF544SIB/,/files/ENCFF028AVQ/,/files/ENCFF975HKC/,/files/ENCFF709FEU/		ENCBS575NGC,ENCBS768GCL	2,1	1	ENCAB032ZZR	Homo sapiens	child	15 years												/replicates/56ff3d0a-5514-4208-aaab-d4d2b98c1df5/,/replicates/80116b76-e4e4-4d78-a4b2-6824c939dc29/				
/experiments/ENCSR739VVT/	ENCSR739VVT	eCLIP	eCLIP	cell line	/targets/APOBEC3C-human/	APOBEC3C	APOBEC3C	Homo sapiens K562	K562	GEO:GSE177595	eCLIP experiment on K562 against APOBEC3C	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF346VFW/,/files/ENCFF398XYR/,/files/ENCFF668IXD/,/files/ENCFF379YZG/,/files/ENCFF499WCD/,/files/ENCFF039MJO/,/files/ENCFF519AJS/,/files/ENCFF319VBB/,/files/ENCFF239THR/,/files/ENCFF436DAF/,/files/ENCFF943EZJ/,/files/ENCFF284TAX/,/files/ENCFF571IFM/,/files/ENCFF921RKR/,/files/ENCFF430LRB/,/files/ENCFF779MXW/,/files/ENCFF034NKK/,/files/ENCFF273IBF/,/files/ENCFF736YDH/,/files/ENCFF260KKZ/,/files/ENCFF713YLQ/,/files/ENCFF023SPX/,/files/ENCFF285GQG/,/files/ENCFF082VYL/,/files/ENCFF315VJK/,/files/ENCFF315EQH/,/files/ENCFF655HJD/,/files/ENCFF774VNR/,/files/ENCFF392MTE/,/files/ENCFF785OQN/,/files/ENCFF709WDL/,/files/ENCFF472CCL/		ENCBS831COV,ENCBS931MQO	1,2	1	ENCAB529HWM	Homo sapiens	adult	53 years												/replicates/b06cb0b2-9e41-477f-a481-8259a2b57ffc/,/replicates/898ed058-9c8d-40cb-a0af-27f245390665/				
/experiments/ENCSR089BXO/	ENCSR089BXO	eCLIP	eCLIP	cell line	/targets/ABCF1-human/	ABCF1	ABCF1	Homo sapiens K562	K562	GEO:GSE176976	eCLIP experiment on K562 against ABCF1	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF087VMD/,/files/ENCFF241MTQ/,/files/ENCFF212LWQ/,/files/ENCFF781LAN/,/files/ENCFF203DRR/,/files/ENCFF906OCW/,/files/ENCFF521WPY/,/files/ENCFF361IIP/,/files/ENCFF832LUT/,/files/ENCFF424BDA/,/files/ENCFF376NBT/,/files/ENCFF332BZR/,/files/ENCFF761ZBZ/,/files/ENCFF307DZF/,/files/ENCFF983ABI/,/files/ENCFF811EXB/,/files/ENCFF414SIN/,/files/ENCFF470BUE/,/files/ENCFF070VGS/,/files/ENCFF090YWS/,/files/ENCFF300YSV/,/files/ENCFF489WZV/,/files/ENCFF010PPR/,/files/ENCFF504NOI/,/files/ENCFF929AVT/,/files/ENCFF941GJK/		ENCBS505ILK,ENCBS039CVO	1,2	1	ENCAB710VED	Homo sapiens	adult	53 years												/replicates/3cf77752-5ff2-4f16-9304-c5345c100bcf/,/replicates/90b1086f-91d6-477f-8cca-1c95b7d1f174/				
/experiments/ENCSR352STY/	ENCSR352STY	eCLIP	eCLIP	cell line	/targets/SSB-human/	SSB	SSB	Homo sapiens HepG2	HepG2	RBPImage:SSB,GEO:GSE177242	eCLIP experiment on HepG2 against SSB	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF527CYH/,/files/ENCFF916XEL/,/files/ENCFF120ZCK/,/files/ENCFF432KDL/,/files/ENCFF746AWW/,/files/ENCFF856EEK/,/files/ENCFF383JPP/,/files/ENCFF329OZW/,/files/ENCFF575EPO/,/files/ENCFF934BKN/,/files/ENCFF828WCR/,/files/ENCFF746RLH/,/files/ENCFF763VGI/,/files/ENCFF571EFF/,/files/ENCFF343FAD/,/files/ENCFF264DBW/,/files/ENCFF242WIV/,/files/ENCFF073JBT/,/files/ENCFF079NYX/,/files/ENCFF681BGR/,/files/ENCFF097KHT/,/files/ENCFF697NZQ/,/files/ENCFF689JPE/,/files/ENCFF889CTF/,/files/ENCFF565RQI/,/files/ENCFF848JWA/		ENCBS575NGC,ENCBS074YUC	1,2	1	ENCAB214FIO	Homo sapiens	child	15 years												/replicates/6951246e-c7fa-4fcc-80e0-d735c6075099/,/replicates/8d07c6e2-0fac-49a0-81e1-410ac467750f/				
/experiments/ENCSR040QLV/	ENCSR040QLV	eCLIP	eCLIP	cell line	/targets/DDX21-human/	DDX21	DDX21	Homo sapiens K562	K562	GEO:GSE176736	eCLIP experiment on K562 against DDX21	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF671GCD/,/files/ENCFF363TSA/,/files/ENCFF946SJB/,/files/ENCFF253EGX/,/files/ENCFF845KUG/,/files/ENCFF099RYM/,/files/ENCFF180UZN/,/files/ENCFF353WIB/,/files/ENCFF429PEL/,/files/ENCFF740MPP/,/files/ENCFF572GMO/,/files/ENCFF945XNS/,/files/ENCFF420HTZ/,/files/ENCFF559UQP/,/files/ENCFF455REV/,/files/ENCFF655QSG/,/files/ENCFF485TSN/,/files/ENCFF006QTI/,/files/ENCFF402AXI/,/files/ENCFF139OJJ/,/files/ENCFF371SNO/,/files/ENCFF005ZCI/,/files/ENCFF800GPC/,/files/ENCFF159PUC/,/files/ENCFF028CQB/,/files/ENCFF378OYA/		ENCBS126AJR,ENCBS658KIL	1,2	1	ENCAB315FWL	Homo sapiens	adult	53 years												/replicates/60f9db73-7de3-4d3d-b090-9c06a51065e4/,/replicates/973a6b67-4bcb-4127-a9e7-6b3b56efeda0/				
/experiments/ENCSR973HOJ/	ENCSR973HOJ	eCLIP	eCLIP	cell line	/targets/FXR2-human/	FXR2	FXR2	Homo sapiens HepG2	HepG2	GEO:GSE177979,RBPImage:FXR2	eCLIP experiment on HepG2 against FXR2	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF733GMZ/,/files/ENCFF074OYO/,/files/ENCFF034XGK/,/files/ENCFF300OPL/,/files/ENCFF032TZM/,/files/ENCFF385GCC/,/files/ENCFF450CWZ/,/files/ENCFF499FPK/,/files/ENCFF934FRF/,/files/ENCFF410VWB/,/files/ENCFF815YGA/,/files/ENCFF246SBA/,/files/ENCFF004VKR/,/files/ENCFF939JDG/,/files/ENCFF157JBC/,/files/ENCFF500VOG/,/files/ENCFF528ZUW/,/files/ENCFF758DRK/,/files/ENCFF272DGX/,/files/ENCFF159MBO/,/files/ENCFF702QGF/,/files/ENCFF638WRZ/,/files/ENCFF483HFI/,/files/ENCFF445MKT/,/files/ENCFF149CJJ/,/files/ENCFF112MVG/		ENCBS074YUC,ENCBS575NGC	1,2	1	ENCAB069PGU	Homo sapiens	child	15 years												/replicates/a32473f7-852b-4b45-ad23-25e4e1532d1f/,/replicates/63fdc339-8a3d-41fd-96b3-91b48fdcae0b/				
/experiments/ENCSR580OFI/	ENCSR580OFI	eCLIP	eCLIP	cell line	/targets/SUPV3L1-human/	SUPV3L1	SUPV3L1	Homo sapiens K562	K562	GEO:GSE177420	eCLIP experiment on K562 against SUPV3L1	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF171KZO/,/files/ENCFF987DVU/,/files/ENCFF813UKO/,/files/ENCFF126HSF/,/files/ENCFF620GJH/,/files/ENCFF852ZSI/,/files/ENCFF162ZXD/,/files/ENCFF956LBV/,/files/ENCFF091RCB/,/files/ENCFF009JLQ/,/files/ENCFF942LSK/,/files/ENCFF207VRH/,/files/ENCFF151FJE/,/files/ENCFF739HZG/,/files/ENCFF829FDR/,/files/ENCFF496FIX/,/files/ENCFF321VGW/,/files/ENCFF526SPD/,/files/ENCFF160AGW/,/files/ENCFF971TGH/,/files/ENCFF712HCB/,/files/ENCFF826MPO/,/files/ENCFF754WPL/,/files/ENCFF243VMV/,/files/ENCFF901ABJ/,/files/ENCFF239GPP/		ENCBS175JIH,ENCBS505ILK	1,2	1	ENCAB067CNB	Homo sapiens	adult	53 years												/replicates/83b0c9d1-888b-4c43-a5cc-d935e2e0a356/,/replicates/9e881a71-22c2-4a18-a7e9-e7202749620b/				
/experiments/ENCSR349CMI/	ENCSR349CMI	eCLIP	eCLIP	cell line	/targets/WDR43-human/	WDR43	WDR43	Homo sapiens K562	K562	GEO:GSE177231	eCLIP experiment on K562 against WDR43	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF083HOA/,/files/ENCFF899IIA/,/files/ENCFF522XKE/,/files/ENCFF188RTW/,/files/ENCFF380CNM/,/files/ENCFF748FDO/,/files/ENCFF079JRB/,/files/ENCFF177SNO/,/files/ENCFF238XRJ/,/files/ENCFF445DOZ/,/files/ENCFF509FAF/,/files/ENCFF425HAU/,/files/ENCFF275AYL/,/files/ENCFF309ZSS/,/files/ENCFF580XQC/,/files/ENCFF912BRE/,/files/ENCFF463JRJ/,/files/ENCFF998NDS/,/files/ENCFF810LWT/,/files/ENCFF729AVB/,/files/ENCFF545IBP/,/files/ENCFF213FHW/,/files/ENCFF358QSY/,/files/ENCFF344QPA/,/files/ENCFF048QZQ/,/files/ENCFF244JER/		ENCBS517UIR,ENCBS318IMK	1,2	1	ENCAB350LKS	Homo sapiens	adult	53 years												/replicates/18e7fa26-b40c-4b65-8ade-0031394465a6/,/replicates/d84c7d01-7e14-4fe1-8b87-00917d1bd969/				
/experiments/ENCSR958FKZ/	ENCSR958FKZ	eCLIP	eCLIP	cell line	/targets/PABPC4-human/	PABPC4	PABPC4	Homo sapiens K562	K562	GEO:GSE177941	eCLIP experiment on K562 against PABPC4	Gene Yeo, UCSD	ENCODE	released	/files/ENCFF662IWF/,/files/ENCFF484RUL/,/files/ENCFF440SQF/,/files/ENCFF478YTR/,/files/ENCFF047TLS/,/files/ENCFF953EUQ/,/files/ENCFF006AVT/,/files/ENCFF707JVN/,/files/ENCFF087JUK/,/files/ENCFF513VQU/,/files/ENCFF463ZSJ/,/files/ENCFF772SPP/,/files/ENCFF577BEF/,/files/ENCFF363FQC/,/files/ENCFF692YDC/,/files/ENCFF551NSA/,/files/ENCFF990TDV/,/files/ENCFF745TLR/,/files/ENCFF652YFU/,/files/ENCFF446CWO/,/files/ENCFF559XNJ/,/files/ENCFF787HQF/,/files/ENCFF956PEQ/,/files/ENCFF778LEH/,/files/ENCFF192JKW/,/files/ENCFF452MJL/		ENCBS931MQO,ENCBS489LOC	1,2	1	ENCAB596MHX	Homo sapiens	adult	53 years												/replicates/c7af6e48-1cfc-4243-8ff5-2ae514e3721d/,/replicates/4f562f19-054b-4445-93d8-185b2e266675/				
